180	UBL-main	British National Bibliography
181	UBL-main	British Library Catalogue
182	UBL-main	HeBIS-Verbundkatalog
183	UBL-main	K10plus Verbundkatalog (für spezielle Profilierung)
184	UBL-main	RILM Répertoire International de Littérature Musicale
185	UBL-main	DABI Datenbank Deutsches Bibliothekswesen
186	UBL-main	Datenbank Buch und Papier
187	UBL-main	UrMEL - Universal Multimedia Electronic Library
188	UBL-main	GoeScholar - Publikationenserver der Georg-August-Universität Göttingen
200	UBL-main	finc TEST
201	SLUB-dswarm	Perinorm
202	SLUB-dswarm	Zentralinstitut für Kunstgeschichte
