Zelluloid	0724-7656
Schriftenreihe der SLM	1430-0370
Holland Animation bulletin	0168-2326
AJS-Forum	0174-4968
FBW-Information	0427-8186
NFM programma	0927-2127
Film-Journal	0426-1488
Indian and foreign review	0019-4379
Bielefelder Rechtsstudien	0937-0641
Dresdner Hefte	0863-2138
Cinema Musica	1861-5309
Medien und Theater : Neue Folge	0944-7970
The New Zealand Film Archive newsletter	0113-1710
News	0814-6888
Interventionen	1420-1526
Musiktheorie	0177-4182
Transactions of the Society of Motion Picture Engineers	0096-6460
Film-Konzepte	1861-9622
Chicago Review	0009-3696
Unterhaltungsforschung	1862-3069
Cold-War German cinema	0892-2160
STSS: Stage and Screen Studies	1660-2560
Bright lights film journal [Elektronische Ressource]	0147-1049
Cinetext [Elektronische Ressource]	1605-6035
Real screen	1480-1434
Film-philosophy [Elektronische Ressource]	1466-4615
Filmkultúra [Elektronische Ressource]	1418-8740
Glossen [Elektronische Ressource]	1093-6025
The journal of religion and film [Elektronische Ressource]	1092-1311
Jump cut [Elektronische Ressource]	0146-5546
Kinema [Elektronische Ressource]	1192-6252
Kinoeye [Elektronische Ressource]	1475-2441
Film and history [Elektronische Ressource]	0360-3695
Studio-Magazin	0932-3929
Schriftenreihe des Erich Pommer Instituts zu Medienwirtschaft und Medienrecht	1863-6918
Cut	1862-1740
Mix	0164-9957
Das Kinoheft	1861-1311
Professional audio	1862-5371
Psyart [Elektronische Ressource]	1088-5870
Revolver [Elektronische Ressource]	1617-6642
Mechademia	1934-2489
Scope [Elektronische Ressource]	1465-9166
Screening the past [Elektronische Ressource]	1328-9756
Senses of cinema [Elektronische Ressource]	1443-4059
Televizion [Elektronische Ressource]	0943-4755
The film journal [Elektronische Ressource]	1542-0868
Bollywood	1864-1032
Medienwissenschaft Schweiz	1420-505X
Hamburger Hefte zur Medienkultur	1619-5442
Essener Unikate	0944-6060
European Journal of Cultural Studies	1367-5494
Recherche Film und Fernsehen	1864-5046
Sinn und Form	0037-5756
Adolf-Grimme-Preis	1437-2916
Mensch und Gesellschaft	0930-939X
Schriftenreihe der MSA	1438-7476
Alltag, Medien und Kultur	1864-4058
Filmmusik	1860-7659
Zeitschrift für Kulturwissenschaften - ZfK	9783-9331
Schriftenreihe der Medienanstalt Hamburg/Schleswig-Holstein (MA HSH)	1865-4169
Theorie und Geschichte der Kommunikationswissenschaft	1865-3367
40 / Vierzig Jahre HFF	1865-5157
Berliner Handreichungen zur Bibliotheks- und Informationswissenschaft	1438-7662
Film- und Medienwissenschaft	1866-3397
Journal of media psychology	1864-1105
Animation Journal [Elektronische Ressource]	1061-0308
CineAction [Elektronische Ressource]	0826-9866
Cineforum [Elektronische Ressource]	0009-7039
Film & Kino [Elektronische Ressource]	0015-1351
